nPar,nB,nT,curTask,curDur,rpr,flw,curPreCueDur,curRpt,preTask,preDur,preRpt,prePreCueDur,flwOnLtc,flwOffLtc,flwAfterOff,valid
17,1,1,reproduction,1.0,0.8115641000001688,0.0,,0.8115641000001688,,,,,,,False,1
17,1,2,following,1.3,0.0,1.434808700000076,0.8,1.434808700000076,reproduction,1.0,0.8115641000001688,,0.0889868999999907,0.2183201000000099,False,1
17,1,3,reproduction,0.8,0.7997715999999855,0.0,,0.7997715999999855,following,1.3,1.434808700000076,0.8,,,False,1
17,1,4,reproduction,1.0,0.8468367000000399,0.0,,0.8468367000000399,reproduction,0.8,0.7997715999999855,,,,False,1
17,1,5,reproduction,1.3,0.8938829000001078,0.0,,0.8938829000001078,reproduction,1.0,0.8468367000000399,,,,False,1
17,1,6,following,1.1,0.0,1.470121299999846,1.0,1.470121299999846,reproduction,1.3,0.8938829000001078,,0.4888963000000603,0.8534823999998298,False,1
17,1,7,following,1.3,0.0,1.411295500000051,1.2,1.411295500000051,following,1.1,1.470121299999846,1.0,0.5006800999999359,0.6064913999998498,False,1
17,1,8,reproduction,0.8,0.8702754999999343,0.0,,0.8702754999999343,following,1.3,1.411295500000051,1.2,,,False,1
17,1,9,following,1.2,0.0,1.4818680999999287,1.3,1.4818680999999287,reproduction,0.8,0.8702754999999343,,-0.0639246000000821,0.2183221999998568,False,1
17,1,10,reproduction,1.4,0.987954800000125,0.0,,0.987954800000125,following,1.2,1.4818680999999287,1.3,,,False,1
17,1,11,reproduction,1.3,0.9645841000001384,0.0,,0.9645841000001384,reproduction,1.4,0.987954800000125,,,,False,1
17,1,12,reproduction,1.0,0.8239932000001318,0.0,,0.8239932000001318,reproduction,1.3,0.9645841000001384,,,,False,1
17,1,13,following,0.8,0.0,1.2348987999998826,0.9,1.2348987999998826,reproduction,1.0,0.8239932000001318,,0.4771360000001823,0.9122520000000622,False,1
17,1,14,following,1.4,0.0,3.034358900000143,1.4,3.034358900000143,following,0.8,1.2348987999998826,0.9,-0.3461684000001424,1.2886193999999975,False,1
17,1,15,following,1.2,0.0,2.8932184000000234,0.9,2.8932184000000234,following,1.4,3.034358900000143,1.4,0.500645100000138,2.1942204000001584,False,1
17,1,16,reproduction,1.1,1.0939479999999548,0.0,,1.0939479999999548,following,1.2,2.8932184000000234,0.9,,,False,1
17,1,17,following,1.1,0.0,1.1997409000000516,0.8,1.1997409000000516,reproduction,1.1,1.0939479999999548,,0.5471396000000186,0.6419006999999328,False,1
17,1,18,following,1.0,0.0,1.0467317000000094,1.3,1.0467317000000094,following,1.1,1.1997409000000516,0.8,0.523712400000004,0.5706890000001112,False,1
17,1,19,reproduction,1.4,0.9532121999998252,0.0,,0.9532121999998252,following,1.0,1.0467317000000094,1.3,,,False,1
17,1,20,following,1.3,0.0,1.822951299999886,0.9,1.822951299999886,reproduction,1.4,0.9532121999998252,,0.0419742000001224,0.5594286000000284,False,1
